title,price
Lenovo Yoga 7 OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IML9 2 in 1 Lapt...,62990
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, AI PC Intel Core Ultra 5 225H - (16 GB/512 GB ...",77507
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,88490
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60343WS ...,130090
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,25000
ASUS Expertbook P1 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611W...,25990
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,43000
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,25000
Lenovo Slim 5 Co-Pilot Next Gen AI PC Full Metal Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) ...,37990
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,72999
Reviews for Popular Laptops,25000
1. Lenovo IdeaPad Slim 5 WUXGA...,21990
The warranty for the laptop remains only 5 month from the date of purchase. I have checked in Lenovo web site,32999
2. Lenovo IdeaPad Slim 3 Intel...,17000
3. ASUS Expertbook P1 Intel Co...,53990
5. ASUS Vivobook 14 (2025) wit...,65387
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,40990
Lenovo V15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop,69990
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim ...,25000
DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,34990
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,60000
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 14IAH8 Thin and...,47390
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...,70790
Lenovo IdeaPad 1 MSO'2024 AMD Ryzen 5 Hexa Core 5625U AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/...,25000
Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH...,32990
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,44861
Lenovo Yoga Slim 7 Ultra 7 155H WUXGA OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) ...,28000
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",39990
DELL 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,66999
Reviews for Popular Laptops,25000
1. Lenovo IdeaPad Slim 5 WUXGA...,58990
The warranty for the laptop remains only 5 month from the date of purchase. I have checked in Lenovo web site,75142
2. Lenovo IdeaPad Slim 3 Intel...,25000
3. ASUS Expertbook P1 Intel Co...,18990
5. ASUS Vivobook 14 (2025) wit...,34990
